iter	Passed	Remaining
0	347	346961
1	572	285811
2	821	273127
3	1339	333649
4	1596	317635
5	1850	306631
6	2111	299494
7	2380	295125
8	2713	298832
9	3032	300259
10	3304	297064
11	3557	292891
12	3766	285982
13	3999	281695
14	4310	283076
15	4560	280478
16	4764	275478
17	4995	272518
18	5234	270286
19	5458	267478
20	5736	267436
21	6020	267627
22	6350	269747
23	6584	267777
24	6772	264124
25	6986	261718
26	7381	266008
27	7717	267913
28	8017	268458
29	8360	270327
30	8635	269941
31	8876	268508
32	9195	269456
33	9424	267768
34	9609	264935
35	9830	263225
36	10123	263495
37	10414	263649
38	10795	266021
39	11084	266032
40	11397	266586
41	11585	264253
42	11790	262409
43	12069	262237
44	12326	261590
45	12601	261337
46	12770	258937
47	12949	256825
48	13176	255722
49	13427	255127
50	13711	255133
51	13997	255181
52	14281	255183
53	14506	254129
54	14700	252588
55	14845	250260
56	15070	249321
57	15300	248505
58	15558	248148
59	15756	246857
60	15898	244734
61	16125	243961
62	16343	243083
63	16648	243480
64	17005	244611
65	17258	244229
66	17532	244140
67	17715	242811
68	17883	241303
69	18119	240735
70	18358	240212
71	18659	240499
72	18835	239183
73	19009	237879
74	19253	237464
75	19522	237349
76	19790	237223
77	20081	237371
78	20331	237029
79	20550	236329
80	20736	235272
81	20880	233759
82	21059	232663
83	21275	232008
84	21491	231346
85	21810	231801
86	22026	231150
87	22257	230667
88	22450	229800
89	22646	228985
90	22973	229481
91	23229	229261
92	23464	228846
93	23692	228355
94	23870	227399
95	24078	226739
96	24325	226457
97	24562	226074
98	24931	226902
99	25233	227100
100	25472	226731
101	25679	226081
102	25947	225968
103	26190	225641
104	26368	224763
105	26603	224371
106	26779	223499
107	26938	222493
108	27099	221519
109	27352	221308
110	27554	220683
111	27982	221857
112	28304	222177
113	28645	222632
114	28810	221715
115	28999	220993
116	29198	220364
117	29524	220680
118	29848	220977
119	30056	220410
120	30303	220141
121	30519	219641
122	30781	219471
123	31090	219638
124	31412	219884
125	31695	219854
126	31874	219103
127	32055	218376
128	32248	217739
129	32443	217118
130	32742	217198
131	33024	217161
132	33209	216484
133	33395	215821
134	33627	215464
135	33850	215047
136	34056	214531
137	34409	214932
138	34669	214753
139	34875	214235
140	35072	213667
141	35340	213537
142	35560	213113
143	35838	213037
144	36097	212853
145	36377	212783
146	36649	212665
147	36917	212523
148	37165	212268
149	37425	212077
150	37673	211820
151	37861	211227
152	38037	210573
153	38243	210091
154	38568	210259
155	38818	210020
156	39158	210260
157	39479	210390
158	39705	210013
159	39915	209557
160	40092	208928
161	40281	208368
162	40645	208715
163	40958	208788
164	41177	208383
165	41422	208112
166	41671	207856
167	41860	207311
168	42222	207612
169	42505	207527
170	42692	206971
171	42853	206294
172	43040	205747
173	43241	205274
174	43508	205112
175	43892	205496
176	44119	205142
177	44302	204587
178	44537	204274
179	44737	203804
180	44940	203348
181	45134	202858
182	45393	202659
183	45601	202231
184	45815	201834
185	46002	201321
186	46188	200810
187	46457	200658
188	46671	200267
189	47165	201074
190	47515	201254
191	47695	200718
192	47957	200528
193	48152	200056
194	48444	199989
195	48721	199858
196	48957	199557
197	49179	199203
198	49403	198853
199	49760	199041
200	50073	199048
201	50331	198834
202	50560	198504
203	50759	198061
204	50974	197679
205	51187	197296
206	51367	196784
207	51573	196375
208	51861	196278
209	52251	196563
210	52549	196500
211	52763	196119
212	52996	195812
213	53334	195891
214	53592	195675
215	53825	195366
216	54029	194955
217	54249	194599
218	54441	194148
219	54662	193803
220	54864	193391
221	55169	193343
222	55491	193348
223	55713	193006
224	55927	192640
225	56152	192311
226	56383	192002
227	56661	191854
228	56933	191683
229	57135	191280
230	57374	190999
231	57602	190685
232	57823	190345
233	58027	189952
234	58328	189879
235	58605	189723
236	58822	189372
237	58995	188885
238	59160	188374
239	59414	188146
240	59637	187819
241	59917	187676
242	60290	187819
243	60624	187836
244	60859	187547
245	61120	187337
246	61309	186907
247	61469	186390
248	61718	186146
249	61928	185786
250	62094	185294
251	62264	184816
252	62536	184644
253	62746	184286
254	63010	184088
255	63373	184179
256	63705	184175
257	63929	183857
258	64088	183358
259	64274	182933
260	64451	182488
261	64733	182341
262	64999	182146
263	65178	181710
264	65358	181277
265	65612	181050
266	65832	180731
267	66097	180535
268	66414	180479
269	66847	180736
270	67122	180561
271	67284	180085
272	67449	179618
273	67659	179272
274	67988	179242
275	68208	178924
276	68408	178553
277	68645	178280
278	68894	178038
279	69105	177701
280	69368	177495
281	69583	177165
282	69732	176673
283	69907	176245
284	70091	175844
285	70258	175400
286	70470	175072
287	70659	174687
288	70857	174323
289	71023	173884
290	71181	173428
291	71352	173004
292	71500	172528
293	71679	172129
294	71865	171745
295	72074	171421
296	72269	171063
297	72449	170669
298	72620	170258
299	72789	169841
300	72981	169480
301	73206	169199
302	73400	168845
303	73685	168700
304	73951	168512
305	74141	168150
306	74295	167709
307	74503	167391
308	74712	167076
309	74885	166680
310	75103	166387
311	75323	166098
312	75483	165677
313	75710	165405
314	75888	165026
315	76049	164613
316	76290	164374
317	76494	164054
318	76704	163747
319	76907	163427
320	77064	163011
321	77269	162697
322	77432	162297
323	77598	161903
324	77819	161625
325	78013	161290
326	78167	160876
327	78292	160403
328	78434	159969
329	78639	159661
330	78787	159240
331	78913	158777
332	79114	158467
333	79271	158069
334	79441	157697
335	79619	157343
336	79784	156964
337	79997	156681
338	80153	156287
339	80357	155987
340	80487	155545
341	80631	155133
342	80799	154767
343	80955	154379
344	81132	154034
345	81268	153611
346	81418	153217
347	81591	152866
348	81767	152523
349	81963	152218
350	82121	151842
351	82270	151453
352	82442	151106
353	82582	150702
354	82770	150385
355	82937	150033
356	83098	149671
357	83267	149323
358	83416	148940
359	83597	148617
360	83791	148317
361	83987	148021
362	84201	147759
363	84379	147431
364	84570	147129
365	84755	146817
366	84964	146546
367	85134	146209
368	85282	145834
369	85446	145490
370	85601	145130
371	85765	144786
372	85947	144474
373	86111	144133
374	86286	143810
375	86441	143456
376	86601	143111
377	86765	142772
378	86942	142457
379	87130	142160
380	87273	141790
381	87439	141459
382	87607	141132
383	87757	140777
384	87918	140440
385	88068	140088
386	88249	139784
387	88422	139471
388	88564	139108
389	88718	138764
390	88889	138450
391	89055	138127
392	89223	137808
393	89398	137500
394	89599	137235
395	89787	136948
396	89949	136623
397	90136	136337
398	90324	136052
399	90525	135787
400	90654	135417
401	90809	135084
402	91022	134839
403	91186	134522
404	91359	134218
405	91514	133890
406	91674	133569
407	91850	133273
408	91986	132919
409	92159	132619
410	92306	132283
411	92467	131967
412	92634	131661
413	92768	131310
414	92931	131000
415	93110	130712
416	93283	130418
417	93447	130111
418	93654	129864
419	93828	129572
420	93998	129275
421	94138	128938
422	94307	128641
423	94484	128356
424	94667	128079
425	94871	127832
426	95069	127575
427	95277	127333
428	95444	127037
429	95619	126751
430	95803	126478
431	95976	126191
432	96133	125883
433	96310	125602
434	96512	125355
435	96703	125093
436	96887	124823
437	97033	124503
438	97192	124203
439	97349	123899
440	97501	123590
441	97687	123325
442	97814	122985
443	97975	122690
444	98167	122433
445	98370	122191
446	98554	121925
447	98732	121653
448	98928	121402
449	99104	121127
450	99334	120919
451	99518	120655
452	99717	120409
453	99914	120160
454	100120	119924
455	100336	119700
456	100495	119406
457	100654	119114
458	100810	118819
459	100995	118559
460	101173	118291
461	101368	118043
462	101553	117784
463	101689	117468
464	101868	117203
465	102042	116933
466	102210	116655
467	102389	116390
468	102571	116131
469	102769	115888
470	102918	115591
471	103093	115324
472	103246	115033
473	103438	114786
474	103569	114471
475	103725	114185
476	103925	113947
477	104108	113691
478	104263	113405
479	104408	113109
480	104607	112871
481	104769	112594
482	104944	112331
483	105113	112063
484	105269	111780
485	105421	111494
486	105602	111240
487	105760	110961
488	106012	110781
489	106199	110534
490	106404	110304
491	106561	110027
492	106729	109760
493	106931	109529
494	107113	109277
495	107276	109007
496	107481	108778
497	107658	108523
498	107813	108245
499	108009	108009
500	108186	107754
501	108390	107526
502	108548	107253
503	108732	107006
504	108889	106732
505	109062	106475
506	109212	106197
507	109353	105909
508	109503	105630
509	109644	105344
510	109850	105120
511	110022	104865
512	110188	104603
513	110395	104381
514	110537	104098
515	110681	103817
516	110837	103548
517	111009	103294
518	111196	103055
519	111374	102807
520	111562	102568
521	111761	102341
522	111986	102136
523	112155	101881
524	112351	101651
525	112531	101406
